S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,"Academy of Chinese Medicine, Singapore",Registered with IPC,T14SS0164C,From 14/7/2021 to 13/7/2024,Health,TCM Clinic,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
2,Acts Baptist Church,Registered,S86SS0075G,Not Applicable,Religious,Christianity,
3,Adventist Community Services,Registered,S60SS0011A,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
4,AGAM LTD.,Registered with IPC,201903610E,From 20/5/2022 to 19/11/2023,Arts and Heritage,"Historical & Cultural Conservation,Theatre & Dramatic Arts","Public awareness, promotion & advisory Training & education Research"
5,ALIVE COMMUNITY NETWORK,Registered with IPC,T02SS0190K,From 01/11/2020 to 31/10/2023,Social and Welfare,Community,
6,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,Registered,197300850D,Not Applicable,Religious,Christianity,Training & education
7,AMBER TRUST RE: AMBER FUND,Registered,S85CC0279F,Not Applicable,Others,General Charitable Purposes,
8,Ananias Centre,Registered,S95SS0151B,Not Applicable,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Training & education"
9,Ann Jin Kiong,Registered,S85SS0044B,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
10,ARC LEARNING ACADEMY LTD.,Registered,201112356K,Not Applicable,Social and Welfare,Disability (Adult),Training & education
11,ARCHERY ASSOCIATION OF SINGAPORE,Registered,S69SS0005C,Not Applicable,Sports,NSAs,
12,"ARMENIAN APOSTOLIC CHURCH OF ST GREGORY THE ILLUMINATOR, TRUST, THE",Registered,T03CC1734K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
13,ARTSEQUATOR LTD.,Registered,201701329M,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Theatre & Dramatic Arts,Training & Education","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
